"listing_id","session_id","batch_id","created_at","updated_at","current_phase_state","hard_filter_status","rankable_status","needs_manual_followup","confidence_level","hard_filter_fail_count","hard_filter_tbd_count","positive_points_earned","positive_points_possible","positive_score_pct","penalty_points","total_score_after_penalties","lease_fit_points_earned","cost_points_earned","location_points_earned","living_arrangement_points_earned","unit_quality_points_earned","trust_points_earned","key_strengths","key_concerns","next_action","decision_notes"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","unknown","0","5","59","95","62.1","0","59","0","16","9","12","13","9","listed at S$1900/month; desk in room; AC; laundry access; visual read is basic but plausibly more spacious than the smaller hostel rooms","guest policy is not disclosed publicly; August 2026 move-in still needs confirmation; room-specific photos are limited and the hostel finish looks functional rather than premium","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"bsh-mini-single-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","unknown","0","7","43","73","58.9","0","43","0","3","9","14","9","8","public page shows 1100-1300/month pricing; AC; near bus; hostel visuals suggest a simple no-frills student setup","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; August 2026 move-in still needs confirmation; older or generic photos make desk, window, and actual room spaciousness hard to trust; exact room deep link was not exposed publicly, so the row stores the most specific public page plus an explicit note","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"sophia-view-tap-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","2","73","99","73.7","0","73","3","12","17","15","17","9","listed at S$1950/month; Queen Bed; desk in room; AC; clean modern visuals and a plausible desk-plus-queen layout","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; gallery looks polished and partly generic, so exact room spaciousness and shared-bath feel remain somewhat uncertain","Provisional comparison score only. Human review required before ranking. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"keystone-farrer-compact","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","75","95","78.9","0","75","4","17","5","20","20","9","listed at S$1705/month; Queen Bed; desk in room; AC; clean serviced-room feel and generally maintained finishes","guest policy is not disclosed publicly; August 2026 move-in still needs confirmation; exact-room photo coverage is mixed and the 13 sqm footprint will likely feel tight","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"bencoolen-house-tap-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","2","78","99","78.8","0","78","3","15","19","15","17","9","listed at S$1700/month; Queen Bed; desk in room; AC; clean modern visuals and a plausible desk-plus-queen layout","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; gallery looks polished and partly generic, so exact room spaciousness and shared-bath feel remain somewhat uncertain","Provisional comparison score only. Human review required before ranking. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"jalan-besar-138-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","82","94","87.2","0","82","3","18","19","12","21","9","listed at S$1500/month; Queen Bed; desk in room; AC; clean modern visuals and a plausible desk-plus-queen layout","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; August 2026 move-in still needs confirmation; gallery looks polished and partly generic, so exact room spaciousness and shared-bath feel remain somewhat uncertain","Provisional comparison score only. Human review required before ranking. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"jalan-besar-138-luxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","2","85","103","82.5","0","85","4","12","19","20","21","9","listed at S$1950/month; Queen Bed; desk in room; AC; clean modern visuals with better bathroom finish and stronger overall room feel","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; gallery looks polished and partly generic, so exact-room photo consistency is not perfect","Provisional comparison score only. Human review required before ranking. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"jalan-besar-140-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","2","85","103","82.5","0","85","4","12","19","20","21","9","listed at S$1950/month; Queen Bed; desk in room; AC; clean modern visuals and a plausible desk-plus-queen layout","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; gallery looks polished and partly generic, so exact room spaciousness and shared-bath feel remain somewhat uncertain","Provisional comparison score only. Human review required before ranking. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"horne-road-64-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","61","76","80.3","0","61","3","15","5","12","17","9","listed at S$1750/month; Queen Bed; desk in room; AC; clean modern visuals and a plausible desk-plus-queen layout","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; August 2026 move-in still needs confirmation; gallery looks polished and partly generic, so exact room spaciousness and shared-bath feel remain somewhat uncertain","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"dunlop-79a-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","4","61","76","80.3","0","61","0","18","5","12","17","9","listed at S$1400/month; Single or Queen Bed; desk in room; AC; clean modern visuals and a plausible desk-plus-queen layout","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; August 2026 move-in still needs confirmation; gallery looks polished and partly generic, so exact room spaciousness and shared-bath feel remain somewhat uncertain","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
