"listing_id","session_id","batch_id","created_at","updated_at","last_reviewed_at","phase_state","source_name","source_status","listing_name","exact_listing_url","listing_url_quality","address","neighborhood","housing_type","room_type","bed_type","bathroom_setup","displayed_currency","displayed_monthly_rent","normalized_monthly_rent_sgd","normalized_monthly_rent_usd","normalized_total_all_in_sgd","normalized_total_all_in_usd","fx_rate_sgd_to_usd","fx_rate_date","deposit_months","deposit_sgd","deposit_usd","utilities_included","hidden_fees_note","availability_start","availability_end","semester_stay_acceptance","student_pass_acceptance","private_room","bed_bigger_than_single","desk_in_room","aircon_in_room","aircon_in_apartment","fan_in_room","window_count","natural_light_quality","laundry_access","kitchen_access","guest_policy","landlord_lives_on_site","mixed_gender_ok","student_friendly","condition_summary","commute_minutes_to_smu","commute_mode","nearest_mrt_or_bus","evidence_quality"
"bsh-vip-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Balestier Students' Hostel","approved","VIP Room","https://bshostel.com/room/vip-room/","exact_or_best_public_room_page","12 Boon Teck Rd, #02-02 Shaw Corner, Singapore 329586","Balestier","student_hostel","private room","unknown","unknown","SGD","1900","1900","1484.38",,,"0.78125","2026-06-02","1","1900","1484.38","yes","One-time registration fee S$200; optional guardianship S$400/month","","","yes; site says minimum stay 3 months and payment can be calculated for excess days","yes","yes","unknown","yes","yes","","",,"yes","yes","Microwave and boiling water only; no cooking allowed","not disclosed publicly on listing page","unknown","unknown","yes","Photo evidence looks thin and partly generic, but the VIP setup appears more functional than polished, with basic hostel-style finishes and likely better floor area than the smaller BSH rooms.","30","bus","unknown","unknown"
"bsh-mini-single-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Balestier Students' Hostel","approved","Mini Single Room","https://www.legacy.bshostel.com/ | exact mini single room deep link not exposed on the public site","best_public_non_exact","12 Boon Teck Rd, #02-02 Shaw Corner, Singapore 329586","Balestier","student_hostel","private room","unknown","shared bathroom likely","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Current-site listing not captured; deposit and registration fee not independently verified for this room","","","likely yes; legacy site lists room for JC and Uni students and hostel-wide current VIP terms use 3-month minimum","yes","yes","unknown","unknown","yes","","",,"yes","unknown","unknown","not disclosed publicly on listing page","unknown","unknown","yes","Visual evidence is sparse and partly legacy, pointing to a basic student-hostel fit-out with likely tight floor space and weaker photo consistency than the newer operator listings.","30","bus","unknown","unknown"
"sophia-view-tap-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Sophia View by The Assembly Place","approved","TAP Lite","https://www.theassemblyplace.com/properties/sophia-view/","exact_or_best_public_room_page","108 Sophia Road, Singapore 228173","Rochor / Dhoby Ghaut","coliving_operator","private room","Queen Bed","shared bathroom","SGD","1950","1950","1523.44","1950","1523.44","0.78125","2026-06-02",,,,"yes","Deposit, admin fee, stamp duty, and move-out or other non-refundable charges are not disclosed on the property page","2026-06-07","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","",,"yes","yes","yes","not disclosed publicly on listing page","unknown","unknown","yes","Property photos look polished and recently maintained, with a hotel-like co-living feel; the likely tradeoff is compact usable floor space and only moderate confidence that every image is from the exact room type.","12","walk","Dhoby Ghaut MRT","medium"
"keystone-farrer-compact","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Keystone Farrer Park by Homestead","approved","Compact","https://www.thekeystone.sg/farrerpark","exact_or_best_public_room_page","118 Race Course Road, Singapore 218581","Farrer Park / Little India","serviced_residence","private room","Queen Bed","ensuite bathroom","SGD","1705","1705","1332.03","1705","1332.03","0.78125","2026-06-02",,"2000","1562.5","yes","Terms page states S$2,000 security deposit and S$200 admin fee for Farrer Park and Lavender; GST may apply","","","yes; source positions it for long-term serviced apartment and student accommodation use","yes","yes","yes","yes","yes","","",,"yes","yes","Shared kitchen / pantry access only; no in-room kitchen","not disclosed publicly on listing page","unknown","unknown","yes","The available visuals suggest a clean serviced-room product, but the gallery mixes room, facade, and neighborhood imagery; at 13 sqm this tier is likely tidy but tight for luggage and long study sessions.",,"unknown","Farrer Park MRT","medium"
"bencoolen-house-tap-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","The Assembly Place","approved","TAP Lite","https://www.theassemblyplace.com/properties/bencoolen-house/","exact_or_best_public_room_page","27 Bencoolen Street, Singapore 189620","Rochor / Bencoolen","coliving_operator","private room","Queen Bed","shared bathroom likely","SGD","1700","1700","1328.12","1700","1328.12","0.78125","2026-06-02",,,,"yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","2026-07-01","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","",,"yes","yes","yes","not disclosed publicly on listing page","unknown","unknown","yes","Property photos look polished and recently maintained, with a hotel-like co-living feel; the likely tradeoff is compact usable floor space and only moderate confidence that every image is from the exact room type.","1","walk","Bencoolen MRT","medium"
"jalan-besar-138-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","The Assembly Place","approved","TAP Lite","https://www.theassemblyplace.com/properties/138-jalan-besar/","exact_or_best_public_room_page","138 Jalan Besar, Singapore","Jalan Besar / Rochor","coliving_operator","private room","Queen Bed","unknown","SGD","1500","1500","1171.88","1500","1171.88","0.78125","2026-06-02",,,,"yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","",,"yes","yes","Bar fridge only shown at room level; shared full kitchen listed in property benefits","not disclosed publicly on listing page","unknown","unknown","yes","Property photos look polished and recently maintained, with a hotel-like co-living feel; the likely tradeoff is compact usable floor space and only moderate confidence that every image is from the exact room type.","5","walk","Jalan Besar MRT","medium"
"jalan-besar-138-luxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","The Assembly Place","approved","TAP Luxe","https://www.theassemblyplace.com/properties/138-jalan-besar/","exact_or_best_public_room_page","138 Jalan Besar, Singapore","Jalan Besar / Rochor","coliving_operator","private room","Queen Bed","ensuite bathroom","SGD","1950","1950","1523.44","1950","1523.44","0.78125","2026-06-02",,,,"yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","2026-03-27","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","",,"yes","yes","Bar fridge only shown at room level; shared full kitchen listed in property benefits","not disclosed publicly on listing page","unknown","unknown","yes","Property photos look polished and recently maintained, with clean bathrooms and a stronger premium feel than the Lite tiers, though the rooms still read as compact rather than expansive.","5","walk","Jalan Besar MRT","medium"
"jalan-besar-140-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","The Assembly Place","approved","TAP Lite","https://www.theassemblyplace.com/properties/140-jalan-besar/","exact_or_best_public_room_page","140 Jalan Besar, Singapore","Jalan Besar / Rochor","coliving_operator","private room","Queen Bed","ensuite bathroom","SGD","1950","1950","1523.44","1950","1523.44","0.78125","2026-06-02",,,,"yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","2026-03-26","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","",,"yes","yes","Bar fridge only shown at room level; shared full kitchen listed in property benefits","not disclosed publicly on listing page","unknown","unknown","yes","Property photos look polished and recently maintained, with a hotel-like co-living feel; the likely tradeoff is compact usable floor space and only moderate confidence that every image is from the exact room type.","5","walk","Jalan Besar MRT","medium"
"horne-road-64-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","The Assembly Place","approved","TAP Lite","https://www.theassemblyplace.com/properties/64-horne-road/","exact_or_best_public_room_page","64 Horne Road, Singapore 209072","Rochor / Lavender","coliving_operator","private room","Queen Bed","unknown","SGD","1750","1750","1367.19","1750","1367.19","0.78125","2026-06-02",,,,"yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","",,"yes","yes","yes","not disclosed publicly on listing page","unknown","unknown","yes","Property photos look polished and recently maintained, with a hotel-like co-living feel; the likely tradeoff is compact usable floor space and only moderate confidence that every image is from the exact room type.",,"unknown","Lavender MRT / Bendemeer MRT","medium"
"dunlop-79a-lite","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","The Assembly Place","approved","TAP Lite","https://www.theassemblyplace.com/properties/79a-dunlop-street/","exact_or_best_public_room_page","79A Dunlop Street, Singapore 209406","Rochor / Little India","coliving_operator","private room","Single or Queen Bed","unknown","SGD","1400","1400","1093.75","1400","1093.75","0.78125","2026-06-02",,,,"yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","unknown","yes","yes","","",,"yes","yes","yes","not disclosed publicly on listing page","unknown","unknown","yes","Property photos look polished and recently maintained, with a hotel-like co-living feel; the likely tradeoff is compact usable floor space and only moderate confidence that every image is from the exact room type.",,"unknown","Rochor MRT","medium"
