"source_name","apartment_or_room_style","cost_sgd","cost_usd","minutes_from_smu","total_score","exact_listing_url","lease_fit_score","cost_score","location_score","living_arrangement_score","unit_quality_score","trust_score"
"The Assembly Place","TAP Lite","SGD 1950","USD 1,523.44","5","85/103","https://www.theassemblyplace.com/properties/140-jalan-besar/","4/5","12/25","19/20","20/28","21/26","9/10"
"The Assembly Place","TAP Luxe","SGD 1950","USD 1,523.44","5","85/103","https://www.theassemblyplace.com/properties/138-jalan-besar/","4/5","12/25","19/20","20/28","21/26","9/10"
"The Assembly Place","TAP Lite","SGD 1500","USD 1,171.88","5","82/94","https://www.theassemblyplace.com/properties/138-jalan-besar/","3/5","18/25","19/20","12/28","21/26","9/10"
"The Assembly Place","TAP Lite","SGD 1700","USD 1,328.12","1","78/99","https://www.theassemblyplace.com/properties/bencoolen-house/","3/5","15/25","19/20","15/28","17/26","9/10"
"Cove","Jr. Master Ensuite Room","SGD 2000","USD 1,562.50","11","76/98","https://cove.sg/listings/476-cove-78-jr-master-ensuite-room-hock-mansions","4/5","11/25","17/20","18/28","17/26","9/10"
"Keystone Farrer Park by Homestead","Compact","SGD 1705","USD 1,332.03","","75/95","https://www.thekeystone.sg/farrerpark","4/5","17/25","5/20","20/28","20/26","9/10"
"Cove","Junior Master Ensuite Room","SGD 1950","USD 1,523.44","18","74/98","https://cove.sg/listings/3147-cove-481-junior-master-ensuite-room-hoot-kiam-mansions","4/5","11/25","15/20","18/28","17/26","9/10"
"Cove","Standard Room","SGD 1550","USD 1,210.94","18","74/98","https://cove.sg/listings/907-cove-200-standard-room-hoot-kiam-mansions","3/5","17/25","15/20","13/28","17/26","9/10"
"Cove","Standard Room","SGD 1550","USD 1,210.94","18","74/98","https://cove.sg/listings/3108-cove-471-standard-room-regency-lodge","3/5","17/25","15/20","13/28","17/26","9/10"
"Cove","Master Ensuite Room","","","10","73/88","https://cove.sg/listings/910-cove-155-master-ensuite-room-24-niven-road","4/5","7/25","18/20","18/28","17/26","9/10"
"Sophia View by The Assembly Place","TAP Lite","SGD 1950","USD 1,523.44","12","73/99","https://www.theassemblyplace.com/properties/sophia-view/","3/5","12/25","17/20","15/28","17/26","9/10"
"Cove","Studio","","","18","73/88","https://cove.sg/listings/1057-cove-178-studio-52-foch-road","5/5","7/25","15/20","20/28","17/26","9/10"
"Cove","Studio","","","18","73/88","https://cove.sg/listings/1038-cove-178-studio-52-foch-road","5/5","7/25","15/20","20/28","17/26","9/10"
"Cove","Studio","","","18","73/88","https://cove.sg/listings/1049-cove-178-studio-52-foch-road","5/5","7/25","15/20","20/28","17/26","9/10"
"Cove","Studio","","","18","73/88","https://cove.sg/listings/1056-cove-178-studio-52-foch-road","5/5","7/25","15/20","20/28","17/26","9/10"
"Cove","Standard Room","SGD 1800","USD 1,406.25","18","71/98","https://cove.sg/listings/3157-cove-483-standard-room-sam-kiang-mansions","3/5","14/25","15/20","13/28","17/26","9/10"
"Cove","Master Ensuite Room","","","18","70/88","https://cove.sg/listings/1170-cove-98-master-ensuite-room-31-37-kinta-road","4/5","7/25","15/20","18/28","17/26","9/10"
