"listing_id","listing_name","source_name","source_status","listing_url_or_note","review_date","reviewer","status","address","neighborhood","housing_type","room_type","bed_type","bathroom_setup","monthly_rent_sgd","monthly_total_all_in_sgd","deposit_months","deposit_sgd","utilities_included","hidden_fees_note","availability_start","availability_end","semester_stay_acceptance","student_pass_acceptance","private_room","bed_bigger_than_single","desk_in_room","aircon_in_room","aircon_in_apartment","fan_in_room","window_count","natural_light_quality","laundry_access","kitchen_access","guest_policy","landlord_lives_on_site","mixed_gender_ok","student_friendly","condition_summary","commute_minutes_to_smu","commute_mode","nearest_mrt_or_bus","evidence_quality","hard_filter_fail_count","hard_filter_tbd_count","positive_points_awarded","positive_points_possible","positive_score_pct","penalty_points","total_score_after_penalties","lease_fit_points","cost_points","location_points","living_arrangement_points","unit_quality_points","trust_points","key_strengths","key_concerns","next_action"
"bsh-vip-room","VIP Room","Balestier Students' Hostel","approved","https://bshostel.com/room/vip-room/","2026-05-31","Codex","hard_filter_tbd","12 Boon Teck Rd, #02-02 Shaw Corner, Singapore 329586","Balestier","student_hostel","private room","unknown","unknown","1900","","1","1900","yes","One-time registration fee S$200; optional guardianship S$400/month","","","yes; site says minimum stay 3 months and payment can be calculated for excess days","yes","yes","unknown","yes","yes","","","unknown","yes","yes","Microwave and boiling water only; no cooking allowed","not disclosed publicly on listing page","unknown","unknown","yes","","Current site and legacy site both present active student-hostel inventory; VIP page lists furniture, cleaning, laundry, and internet","30","bus","unknown","0","3","","","","","","","","","","","","listed at S$1900/month; desk in room; AC; laundry access","guest policy is not disclosed publicly; August 2026 move-in still needs confirmation","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"bsh-single-room","Single Room","Balestier Students' Hostel","approved","https://bshostel.com/ | https://www.legacy.bshostel.com/","2026-05-31","Codex","hard_filter_failed","12 Boon Teck Rd, #02-02 Shaw Corner, Singapore 329586","Balestier","student_hostel","private room","likely single bed; exact size unverified","shared bathroom likely","1500","","unknown","unknown","unknown","Fee and deposit terms likely similar to VIP page but not confirmed on a dedicated Single Room page","","","likely yes; operator inventory appears to follow hostel-wide 3-month minimum but Single Room page not independently verified","yes","yes","no","unknown","yes","","","unknown","yes","yes","Microwave and boiling water only likely; no dedicated Single Room terms page captured","unknown","unknown","unknown","yes","","Current site lists Single Room at S$1500; legacy site lists it for JC and Uni students","30","bus","unknown","1","4","","","","","","","","","","","","","",""
"bsh-mini-single-room","Mini Single Room","Balestier Students' Hostel","approved","https://www.legacy.bshostel.com/","2026-05-31","Codex","hard_filter_tbd","12 Boon Teck Rd, #02-02 Shaw Corner, Singapore 329586","Balestier","student_hostel","private room","unknown","shared bathroom likely","1100-1300","","unknown","unknown","unknown","Current-site listing not captured; deposit and registration fee not independently verified for this room","","","likely yes; legacy site lists room for JC and Uni students and hostel-wide current VIP terms use 3-month minimum","yes","yes","unknown","unknown","yes","","","unknown","yes","unknown","unknown","not disclosed publicly on listing page","unknown","unknown","yes","","Legacy site lists Mini Single Room at S$1100-1300 for JC and Uni students; private-room style is implied by room name","30","bus","unknown","0","6","","","","","","","","","","","","public page shows 1100-1300/month pricing; AC; near bus","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; August 2026 move-in still needs confirmation","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"tap-veerasamy-single","Single","A Co-Living Hotel @ Veerasamy by The Assembly Place","approved","https://www.theassemblyplace.com/properties/a-co-living-hotel-veerasamy/","2026-05-31","Codex","hard_filter_failed","3 Veerasamy Road, Singapore 207309","Farrer Park / Jalan Besar","coliving_hotel","private room","Single Bed","ensuite bathroom","1870","1870","unknown","unknown","yes","Deposit and non-refundable hotel or operator fees not disclosed on the room card or property page","","","yes; property page states 1 Month Flexible Lease","yes","yes","no","yes","yes","","","unknown","yes","yes","Bar fridge only shown; no full kitchen confirmed","unknown","unknown","unknown","yes","","Veerasamy property page lists this room type directly with table, bar fridge, room TV, ensuite bathroom, utilities, washer and dryer, fibre broadband, and weekly housekeeping; approved source does not appear to expose a separate room-detail URL","22","MRT / bus","Jalan Besar MRT","1","3","","","","","","","","","","","","","",""
"tap-veerasamy-queen-windowless","Queen - Windowless","A Co-Living Hotel @ Veerasamy by The Assembly Place","approved","https://www.theassemblyplace.com/properties/a-co-living-hotel-veerasamy/","2026-05-31","Codex","hard_filter_failed","3 Veerasamy Road, Singapore 207309","Farrer Park / Jalan Besar","coliving_hotel","private room","Queen Bed","ensuite bathroom","2420","2420","unknown","unknown","yes","Deposit and non-refundable hotel or operator fees not disclosed on the room card or property page","","","yes; property page states 1 Month Flexible Lease","yes","yes","yes","yes","yes","","0","no natural light likely","yes","yes","Bar fridge only shown; no full kitchen confirmed","unknown","unknown","unknown","yes","","Veerasamy property page lists this room type directly with queen bed, table, bar fridge, room TV, ensuite bathroom, utilities, washer and dryer, fibre broadband, and weekly housekeeping; approved source does not appear to expose a separate room-detail URL","22","MRT / bus","Jalan Besar MRT","1","3","","","","","","","","","","","","","",""
"tap-veerasamy-queen-deluxe","Queen Deluxe","A Co-Living Hotel @ Veerasamy by The Assembly Place","approved","https://www.theassemblyplace.com/properties/a-co-living-hotel-veerasamy/","2026-05-31","Codex","hard_filter_failed","3 Veerasamy Road, Singapore 207309","Farrer Park / Jalan Besar","coliving_hotel","private room","Queen Bed","ensuite bathroom","2750","2750","unknown","unknown","yes","Deposit and non-refundable hotel or operator fees not disclosed on the room card or property page","","","yes; property page states 1 Month Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","Bar fridge only shown; no full kitchen confirmed","unknown","unknown","unknown","yes","","Veerasamy property page lists this room type directly with queen bed, table, bar fridge, room TV, ensuite bathroom, utilities, washer and dryer, fibre broadband, and weekly housekeeping; approved source does not appear to expose a separate room-detail URL","22","MRT / bus","Jalan Besar MRT","1","3","","","","","","","","","","","","","",""
"sophia-view-tap-lite","TAP Lite","Sophia View by The Assembly Place","approved","https://www.theassemblyplace.com/properties/sophia-view/","2026-05-31","Codex","hard_filter_tbd","108 Sophia Road, Singapore 228173","Rochor / Dhoby Ghaut","coliving_operator","private room","Queen Bed","shared bathroom","1950","1950","unknown","unknown","yes","Deposit, admin fee, stamp duty, and move-out or other non-refundable charges are not disclosed on the property page","2026-06-07","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","yes","not disclosed publicly on listing page","unknown","unknown","yes","","Sophia View property page lists this room type directly with queen bed, study table, room TV, air-conditioning, equipped kitchen, washer and dryer, fibre broadband, and weekly housekeeping; approved source does not appear to expose a separate room-detail URL","12","walk","Dhoby Ghaut MRT","0","1","","","","","","","","","","","","listed at S$1950/month; Queen Bed; desk in room; AC","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"sophia-view-tap-luxe","TAP Luxe","Sophia View by The Assembly Place","approved","https://www.theassemblyplace.com/properties/sophia-view/","2026-05-31","Codex","hard_filter_failed","108 Sophia Road, Singapore 228173","Rochor / Dhoby Ghaut","coliving_operator","private room","Queen Bed","ensuite bathroom","2450","2450","unknown","unknown","yes","Deposit, admin fee, stamp duty, and move-out or other non-refundable charges are not disclosed on the property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","yes","unknown","unknown","unknown","yes","","Sophia View property page lists this room type directly with queen bed, study table, room TV, ensuite bathroom, air-conditioning, equipped kitchen, washer and dryer, fibre broadband, and weekly housekeeping; approved source does not appear to expose a separate room-detail URL","12","walk","Dhoby Ghaut MRT","1","3","","","","","","","","","","","","","",""
"wilkie-60-tap-luxe","TAP Luxe","60 Wilkie","approved","https://www.theassemblyplace.com/properties/60-wilkie/","2026-05-31","Codex","hard_filter_failed","60 Wilkie Road, Singapore 228065","Rochor / Dhoby Ghaut","coliving_operator","private room","Queen Bed","ensuite bathroom","2200","2200","unknown","unknown","yes","Deposit, admin fee, stamp duty, and move-out or other non-refundable charges are not disclosed on the property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","yes","unknown","unknown","unknown","yes","","60 Wilkie property page lists this room type directly with queen bed, study table, ensuite bathroom, air-conditioning, equipped kitchen, washer and dryer, fibre broadband, and weekly housekeeping; approved source does not appear to expose a separate room-detail URL","12","walk","Dhoby Ghaut MRT","1","3","","","","","","","","","","","","","",""
"keystone-farrer-compact","Compact","Keystone Farrer Park by Homestead","approved","https://www.thekeystone.sg/farrerpark","2026-05-31","Codex","hard_filter_tbd","118 Race Course Road, Singapore 218581","Farrer Park / Little India","serviced_residence","private room","Queen Bed","ensuite bathroom","1705","1705","unknown","2000","yes","Terms page states S$2,000 security deposit and S$200 admin fee for Farrer Park and Lavender; GST may apply","","","yes; source positions it for long-term serviced apartment and student accommodation use","yes","yes","yes","yes","yes","","","unknown","yes","yes","Shared kitchen / pantry access only; no in-room kitchen","not disclosed publicly on listing page","unknown","unknown","yes","","Farrer Park property page lists Compact room directly with 13 sqm, queen bed, study desk, air-conditioning, windows, ensuite bathroom, Wi-Fi, utilities, weekly cleaning, shared kitchen, washer and dryer, and shared pantry; approved source does not appear to expose a separate room-detail URL","unknown","unknown","Farrer Park MRT","0","2","","","","","","","","","","","","listed at S$1705/month; Queen Bed; desk in room; AC","guest policy is not disclosed publicly; August 2026 move-in still needs confirmation","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
