"source_id","scope_origin","session_id","batch_id","created_at","updated_at","source_name","channel_type","url","operator","status","student_suitable","short_term_friendly","scam_risk","review_date","notes"
"balestier_students_hostel","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","Balestier Students' Hostel","student_hostel","https://bshostel.com","Balestier Students' Hostel","approved","likely","likely","low","2026-05-30","Active student hostel with direct contacts and room inventory; legacy site says since 1970 and current site offers guardianship and student-pass related support; semester stay plausible; unresolved concern is fee and deposit clarity to verify at listing level"
"a_co_living_hotel_veerasamy_by_the_assembly_place","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","A Co-Living Hotel @ Veerasamy by The Assembly Place","coliving_operator","https://www.theassemblyplace.com/veerasamy-hotel/","The Assembly Place","approved","likely","likely","low","2026-05-30","Active TAP-operated property under a visible Singapore co-living operator; current TAP sites and recent corporate materials show ongoing operations; semester stay plausible; unresolved concern is to verify whether the SMU-relevant room type is on hotel terms or residential terms"
"sophia_view_by_the_assembly_place","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","Sophia View by The Assembly Place","coliving_operator","https://www.theassemblyplace.com/properties/sophia-view/","The Assembly Place","approved","likely","likely","low","2026-05-30","Active TAP listing shows current availability pricing and 3 month flexible lease; operator identity and contact path are clear; semester stay plausible; unresolved concern is exact agreement fees and deposit return terms"
"60_wilkie","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","60 Wilkie","coliving_operator","https://www.theassemblyplace.com/properties/60-wilkie/","The Assembly Place","approved","likely","likely","low","2026-05-30","SMU-listed TAP property under an active operator with public FAQ and formal contact channels; semester stay plausible based on TAP 3 month minimum; unresolved concern is property-specific availability and move-out fee structure"
"keystone_farrer_park_by_homestead","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","Keystone Farrer Park by Homestead","serviced_residence","https://www.thekeystone.sg/farrerpark","Keystone by Homestead","approved","likely","likely","low","2026-05-30","Active serviced apartment and student-stay operator with current Farrer Park page pricing and explicit SMU student positioning; semester stay plausible; unresolved concern is to verify final contract form and any non-refundable charges"
"campus_by_the_assembly_place","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","CAMPUS by The Assembly Place","student_housing_operator","https://campusbytap.com/","The Assembly Place","approved","likely","likely","low","2026-05-30","Purpose-built student housing brand under TAP with active website and student-focused positioning; operator is clearly identifiable and active; semester stay plausible; unresolved concern is commute tradeoff and exact room agreement terms"
"the_assembly_place","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","The Assembly Place","property_operator","https://www.theassemblyplace.com/find-a-home/","The Assembly Place","approved","likely","likely","low","2026-05-30","Large active Singapore co-living operator with public FAQ direct contacts and recent corporate activity; FAQ states 3 month minimum and discloses deposit admin fee stamp duty and move-out fee; unresolved concern is source covers mixed asset types so each listing still needs property-level legal and fee checks"
"st_thomas_lodge","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","St Thomas Lodge","private_condominium","","unknown","rejected","unknown","unknown","high","2026-05-30","SMU PDF gives only a condo name and address with no operator website booking channel or identifiable manager; current searchable footprint shows a small private condo rather than a traceable accommodation operator; unresolved concern is core operator identity and complaint path are missing"
"heritage_apartments","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","Heritage Apartments","studio_apartments","https://hericoll.com/collections","Heritage Collection","approved","likely","likely","low","2026-05-30","Active aparthotel and serviced apartment operator with clear FAQ deposit terms digital check-in support and current reviews on its own site; short and long stays are explicitly offered; unresolved concern is some inventory is adult-only boutique stock and exact semester pricing must be checked per unit"
"lyf","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","lyf","apartment_hotel","https://www.discoverasr.com/en/lyf","The Ascott Limited","approved","likely","likely","low","2026-05-30","Brand sits under The Ascott Limited of CapitaLand Investment with strong current activity and formal hospitality operations; lyf properties explicitly market stays from a few nights to a few months; unresolved concern is to confirm semester-rate economics versus hotel-style pricing"
"somerset_bencoolen_ascotts","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","Somerset-Bencoolen (Ascotts)","apartment_hotel","https://www.discoverasr.com/en/somerset-serviced-residence/singapore/somerset-bencoolen-singapore","The Ascott Limited","approved","likely","likely","low","2026-05-30","Direct Ascott-operated serviced apartment with active booking page and formal hospitality infrastructure; highly plausible for a 4 month stay and straightforward for passport or student-pass holders; unresolved concern is cost and cancellation terms"
"citadines_singapore","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","Citadines Singapore","apartment_hotel","https://www.discoverasr.com/en/citadines/singapore","The Ascott Limited","approved","likely","likely","low","2026-05-30","Citadines Singapore sources are under the same active Ascott platform with formal serviced residence operations and public property pages; semester stay plausible; unresolved concern is some Citadines sites may function more like hotel residences so total cost and housekeeping model must be verified per property"
"figment","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","Figment","shared_housing_operator","https://www.figment.live/rooms-studios-listing/","Figment","conditional","likely","likely","medium","2026-05-30","Active operator with current listings monthly pricing and public FAQ; site explicitly discusses URA-approved apartment-hotel use and says foreigners with student pass can rent; unresolved concern is mixed product structure across homes and the need to verify the legal stay basis deposit terms and exact house rules per listing"
"novena_hall","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","Novena Hall","student_hostel","https://www.novenahall.com.sg/","Novena Hall","conditional","likely","likely","medium","2026-05-30","Active student hostel with direct contact details room packages and explicit booking requirement for passport copy plus student pass or IPA; semester stay plausible; unresolved concern is policy ambiguity because FAQ mentions both less than 3 months acceptance and 3 month minimum and some deposit wording is unclear"
"ymca_one_orchard","smu_pdf","session_2026_05_30_source_audit","batch_2026_05_30_smu_pack_source_audit","2026-05-30","2026-05-30","YMCA@One Orchard","student_residence","https://ymcaoneorchard.org.sg/","YMCA@One Orchard","approved","likely","likely","low","2026-05-30","Active YMCA of Singapore social enterprise accommodation with clear operator identity booking engine and large public review footprint; semester stay and student-pass use are plausible as standard hospitality accommodation; unresolved concern is hotel-style room economics for a full semester"
"cove","user_added","session_2026_05_31_user_added_source","batch_2026_05_31_cove_source","2026-05-31","2026-05-31","Cove","coliving_operator","https://cove.sg/students","Cove","approved","likely","likely","low","2026-05-31","User-added high-priority source outside the original SMU PDF pack; active Singapore student landing page shows minimum stay of 3 months"
